video_id,platform,post_date,post_time,caption,hook_text,hook_type,topic,format,video_length_seconds,editing_time_minutes,views,likes,comments,shares,saves,followers_gained,revenue,notes,total_engagement_rate,engagement_rate,save_rate,share_rate,follower_conversion_rate,views_per_minute,engagement_per_minute,day_of_week,month,is_weekend,length_bucket
14,TikTok,2026-05-14,21:00,Best Business Book,This book made me money,Story Hook,Business,Review,35,25,16400,840,72,90,110,42,0,Average,1112,0.06780487804878049,0.006707317073170732,0.00548780487804878,0.0025609756097560977,656.0,44.48,Thursday,May,False,31-60 sec
15,Instagram Reels,2026-05-15,12:00,Coding Project Idea,Build this project,Tutorial Hook,Coding,Case Study,60,120,25700,1800,140,220,260,105,0,Good,2420,0.09416342412451362,0.010116731517509728,0.008560311284046693,0.004085603112840467,214.16666666666666,20.166666666666668,Friday,May,False,31-60 sec
16,YouTube Shorts,2026-05-16,17:00,Productivity Myth,Stop doing this daily,Mistake,Productivity,Reaction,25,15,20800,1200,90,130,150,55,0,Good,1570,0.07548076923076923,0.007211538461538462,0.00625,0.0026442307692307694,1386.6666666666667,104.66666666666667,Saturday,May,True,15-30 sec
17,TikTok,2026-05-17,19:00,Marketing Breakdown,Here's why it worked,Problem Solution,Marketing,Case Study,42,50,30100,2100,170,290,320,130,0,Good,2880,0.09568106312292358,0.0106312292358804,0.009634551495016611,0.004318936877076412,602.0,57.6,Sunday,May,True,31-60 sec
18,Instagram Reels,2026-05-18,11:00,Tech Gadget Review,Is it worth it?,Question,Tech News,Review,30,40,11200,620,55,70,80,35,0,Average,825,0.07366071428571429,0.007142857142857143,0.00625,0.003125,280.0,20.625,Monday,May,False,15-30 sec
19,YouTube Shorts,2026-05-19,15:00,Study Faster,The science says this,Shocking Fact,Study Tips,Tutorial,45,35,34300,2300,190,350,390,175,0,Strong,3230,0.09416909620991254,0.011370262390670554,0.01020408163265306,0.00510204081632653,980.0,92.28571428571429,Tuesday,May,False,31-60 sec
20,TikTok,2026-05-20,20:00,Career Growth,Nobody tells you this,Hot Take,Career,Storytelling,40,35,14300,700,55,60,80,30,0,Average,895,0.06258741258741259,0.005594405594405594,0.004195804195804196,0.002097902097902098,408.57142857142856,25.571428571428573,Wednesday,May,False,31-60 sec
21,TikTok,2026-05-21,18:00,AI Automation Demo,Watch this happen live,Story Hook,AI,Demo,26,45,52100,3600,280,710,520,260,0,Excellent,5110,0.09808061420345489,0.009980806142034549,0.01362763915547025,0.0049904030710172746,1157.7777777777778,113.55555555555556,Thursday,May,False,15-30 sec
22,Instagram Reels,2026-05-22,13:00,Excel Shortcut,This saves hours,Tutorial Hook,Productivity,Tutorial,18,10,26800,1800,140,240,270,110,0,Strong,2450,0.0914179104477612,0.010074626865671642,0.008955223880597015,0.004104477611940298,2680.0,245.0,Friday,May,False,15-30 sec
23,YouTube Shorts,2026-05-23,16:00,Finance Breakdown,Most people get this wrong,Mistake,Finance,Case Study,52,60,23500,1400,120,190,210,90,0,Good,1920,0.08170212765957446,0.008936170212765958,0.008085106382978723,0.003829787234042553,391.6666666666667,32.0,Saturday,May,True,31-60 sec
24,TikTok,2026-05-24,19:00,Startup Lessons,Learn from this failure,Story Hook,Business,Storytelling,58,65,18900,1100,90,120,140,55,0,Average,1450,0.07671957671957672,0.007407407407407408,0.006349206349206349,0.00291005291005291,290.7692307692308,22.307692307692307,Sunday,May,True,31-60 sec
25,Instagram Reels,2026-05-25,12:00,Coding Workflow,My developer setup,Story Hook,Coding,Demo,32,50,21100,1450,110,180,200,75,0,Good,1940,0.09194312796208531,0.009478672985781991,0.008530805687203791,0.0035545023696682463,422.0,38.8,Monday,May,False,31-60 sec
26,YouTube Shorts,2026-05-26,15:00,Tech Trends,This will explode soon,Hot Take,Tech News,Listicle,28,20,30500,2000,170,300,280,120,0,Strong,2750,0.09016393442622951,0.009180327868852459,0.009836065573770493,0.003934426229508197,1525.0,137.5,Tuesday,May,False,15-30 sec
27,TikTok,2026-05-27,18:00,AI Side Hustle,Try this today,Problem Solution,AI,Challenge,30,35,45800,3100,250,560,470,220,0,Excellent,4380,0.09563318777292576,0.010262008733624454,0.01222707423580786,0.00480349344978166,1308.5714285714287,125.14285714285714,Wednesday,May,False,15-30 sec
28,Instagram Reels,2026-05-28,14:00,Study Routine,My exam strategy,Story Hook,Study Tips,Storytelling,40,30,13600,820,60,85,95,38,0,Average,1060,0.07794117647058824,0.006985294117647059,0.00625,0.0027941176470588237,453.3333333333333,35.333333333333336,Thursday,May,False,31-60 sec
29,YouTube Shorts,2026-05-29,17:00,Marketing Examples,Great campaign breakdown,Case Study,Marketing,Case Study,55,70,24800,1650,130,220,250,95,0,Good,2250,0.0907258064516129,0.010080645161290322,0.008870967741935484,0.0038306451612903224,354.2857142857143,32.142857142857146,Friday,May,False,31-60 sec
30,TikTok,2026-05-30,20:00,Data Analyst Skills,Learn these skills first,Tutorial Hook,Career,Tutorial,36,25,38900,2700,210,420,390,180,0,Strong,3720,0.09562982005141388,0.010025706940874035,0.010796915167095116,0.004627249357326478,1556.0,148.8,Saturday,May,True,31-60 sec
